name,ico,address,city,nace,source
SPRITES SOFTWARE s.r.o.,04290071,"Hřbitovní 24, Úštěk-Českolipské Předměstí, 41145 Úštěk",Prague,62,ares
Mareth software s.r.o.,04323289,"Dělnická 742, 74901 Vítkov",Prague,62,ares
RED.SYSTEMS SOFTWARE CZ s.r.o. v likvidaci,04439716,"Roháčova 145/14, Žižkov, 13000 Praha 3",Prague,62,ares
GeSoft Software s.r.o.,04495217,"Na Čečeličce 425/4, Smíchov, 15000 Praha 5",Prague,62,ares
A2B Software s.r.o.,04588312,"Malý val 1552/9, 76701 Kroměříž",Prague,62,ares
ITL software s.r.o.,04617282,"Padoly 47/32, 74723 Bolatice",Prague,62,ares
MFC Software s.r.o.,04644697,"Tusarova 1216/53, Holešovice, 17000 Praha 7",Prague,62,ares
zReports Software s.r.o.,04658256,"Neklanova 120/18, Vyšehrad, 12800 Praha 2",Prague,62,ares
DIAMOND SOFTWARE s.r.o.,04661346,"Padoly 47/32, 74723 Bolatice",Prague,62,ares
"STONE software, s.r.o.",04672011,"Světova 523/1, Libeň, 18000 Praha 8",Prague,62,ares
"CaberNet SoftWare, s.r.o.",04695453,"Rejchova 4984/5, 58601 Jihlava",Prague,62,ares
Altisima software SE,04722019,"Branická 26/43, Braník, 14700 Praha 4",Prague,62,ares
Mobile Software s.r.o.,04795741,"Hlavní 291, 69156 Hrušky",Prague,62,ares
"Správa MŠ software, s.r.o.",04871103,"Branická 213/53, Braník, 14700 Praha 4",Prague,62,ares
IDAP SOFTWARE s.r.o.,04904443,"Makovského 1177/1, Řepy, 16300 Praha 6",Prague,62,ares
"Atom Software Studios, s.r.o.",04910036,"Sokolovská 428/130, Karlín, 18600 Praha 8",Prague,62,ares
RAC software s.r.o.,05009031,"Nad Ovčírnou II 1521, 76001 Zlín",Prague,62,ares
Leprechaun Software Development s.r.o.,05041481,"Kampelíkova 798, Kukleny, 50004 Hradec Králové",Prague,62,ares
"NEURON SOFTWARE LTD., odštěpný závod v České republice",05049741,"č.p. 1, 68301 Dražovice",Prague,62,ares
PTT Software s.r.o.,05095671,"Konviktská 291/24, Staré Město, 11000 Praha 1",Prague,62,ares
SMAL Software Development s.r.o.,05111854,"Rabochova 1006, 25262 Horoměřice",Prague,62,ares
HRUBY Software s.r.o.,05131375,"Navrátilova 666/7, Nové Město, 11000 Praha 1",Prague,62,ares
Mibit Software s.r.o.,05159857,"Vojtěšská 211/6, Nové Město, 11000 Praha 1",Prague,62,ares
Keen Software House s.r.o.,05264561,"Na Petynce 213/23b, Břevnov, 16900 Praha 6",Prague,62,ares
"NASDA Software, s.r.o.",05275598,"Mlýnská 534/3, Moravská Ostrava, 70200 Ostrava",Prague,62,ares
LSI Software s.r.o.,05390893,"Roztylská 1860/1, Chodov, 14800 Praha 4",Prague,62,ares
SCOOP Software s.r.o.,05397936,"Václavské náměstí 795/40, Nové Město, 11000 Praha 1",Prague,62,ares
Software House SE v likvidaci,05496993,"Pernerova 691/42, Karlín, 18600 Praha 8",Prague,62,ares
"Software 42, s.r.o.",05527171,"Kyjevská 2522/3, 25101 Říčany",Prague,62,ares
Stokkur Software s.r.o.,05622638,"Varšavská 715/36, Vinohrady, 12000 Praha 2",Prague,62,ares
VIKLAN SOFTWARE s.r.o.,05726034,"č.p. 142, 26256 Krásná Hora nad Vltavou",Prague,62,ares
s4ei software s.r.o.,05756022,"č.p. 437, 67155 Blížkovice",Prague,62,ares
DL Software and Applications s.r.o.,05756375,"Rybářská 590, 74722 Dolní Benešov",Prague,62,ares
Software Deals s.r.o.,05756481,"Jaselská 1022, Valdické Předměstí, 50601 Jičín",Prague,62,ares
Výhodný Software dropshipping s.r.o.,05759072,"Jaselská 1022, Valdické Předměstí, 50601 Jičín",Prague,62,ares
Vývoj software s.r.o.,05759099,"Pražská 200, 39301 Pelhřimov",Prague,62,ares
COMEL SOFTWARE s.r.o.,05866341,"Polní 285, 46303 Stráž nad Nisou",Prague,62,ares
Future Software Distribution s.r.o.,05882168,"Spojovací 205/24, Vysočany, 19000 Praha 9",Prague,62,ares
Software service s.r.o.,05978459,"Türkova 2319/5b, Chodov, 14900 Praha 4",Prague,62,ares
"Naše MŠ software, s. r. o.",05998476,"Branická 213/53, Braník, 14700 Praha 4",Prague,62,ares
MODIA SOFTWARE a.s.,06007473,"Křemencova 182/15, Nové Město, 11000 Praha 1",Prague,62,ares
Matějka Software s.r.o.,06010504,"U Hájičku 673, 66456 Blučina",Prague,62,ares
Blue Software s.r.o.,06012949,"Laponská 1185/3, Hloubětín, 19800 Praha 9",Prague,62,ares
EO Software Solutions s.r.o.,06062571,"Ke Slivenci 11, Lochkov, 15400 Praha 5",Prague,62,ares
"Age of Software, SE",06143881,"Na Pískovně 269/18, Suché Lazce, 74795 Opava",Prague,62,ares
Vocom software s.r.o.,06226396,"Braunerova 563/7, Libeň, 18000 Praha 8",Prague,62,ares
PERTLIK SOFTWARE s.r.o.,06285538,"Mongolská 1469/38, Poruba, 70800 Ostrava",Prague,62,ares
AITI Software s.r.o.,06295151,"Moravská 854/2, Doubravka, 31200 Plzeň",Prague,62,ares
TRIFID software s.r.o.,06296742,"Rokycanova 114, Litomyšlské Předměstí, 56601 Vysoké Mýto",Prague,62,ares
FORMULA SOFTWARE s.r.o.,06301380,"Optátova 708/37, Jundrov, 63700 Brno",Prague,62,ares
"ATACK software, s.r.o.",06340491,"Žižkova 1168/26, Jižní Předměstí, 30100 Plzeň",Prague,62,ares
Reddot software development s.r.o.,06351247,"Sulec 11, 44001 Toužetín",Prague,62,ares
ZZ software engineering s.r.o.,06367178,"Benešovská 3217, Kročehlavy, 27201 Kladno",Prague,62,ares
HS Software s.r.o.,06376533,"Bednářova 400/26, Horní Heršpice, 61900 Brno",Prague,62,ares
Vulcan Software s.r.o.,06377092,"Na Hliněnce 454, 37842 Nová Včelnice",Prague,62,ares
Pineapple software s.r.o.,06450822,"Hyacintová 3287/5, Záběhlice, 10600 Praha 10",Prague,62,ares
GFX software s.r.o.,06465846,"Purkyňova 648/125, Medlánky, 61200 Brno",Prague,62,ares
Mavo Software s.r.o.,06526292,"Petržílkova 2264/18, Stodůlky, 15800 Praha 5",Prague,62,ares
Mural Software s.r.o.,06629601,"Bubenečská 496/53, Bubeneč, 16000 Praha 6",Prague,62,ares
"PRO100 software, spol. s r.o.",06631142,"Kotlářská 259/17, Veveří, 60200 Brno",Prague,62,ares
Clever Software s.r.o.,06641156,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
Database software s.r.o.,06689205,"Tvrdého 643, Letňany, 19900 Praha 9",Prague,62,ares
Effective Trading Software a.s.,06763138,"Opletalova 921/6, Nové Město, 11000 Praha 1",Prague,62,ares
AURE Software s.r.o.,06763936,"Hanušova 100/10, Lazce, 77900 Olomouc",Prague,62,ares
